Route stop,Business,Address,Latitude,Longitude,Straight-line miles from San Carlos,OSRM road miles from San Carlos,OSRM drive minutes from San Carlos,Within 90 minute drive,OSRM query,Audit status
1,MO's Deli & Cafe,"1602 El Camino Real, Belmont, 94002",37.5144279,-122.2691135,0.7,1.2,3.4,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.2691135,37.5144279?overview=false&steps=false&alternatives=false",OK
2,Michele's Hair Care,1201 6th Avenue,37.518053,-122.275614,1.1,1.4,4.1,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.275614,37.518053?overview=false&steps=false&alternatives=false",OK
3,Pilgrim Kitchen,"311 El Camino Real, Belmont, CA, 94002",37.5284952,-122.2859019,2.0,2.2,5.5,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.2859019,37.5284952?overview=false&steps=false&alternatives=false",OK
4,Belmont Dental,Masonic Way,37.5237877,-122.274092,1.4,1.7,5.0,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.274092,37.5237877?overview=false&steps=false&alternatives=false",OK
5,SeeU Cafe,"1465 Beach Park Boulevard, Foster City, 94404",37.5628984,-122.2502911,3.9,7.1,13.6,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.2502911,37.5628984?overview=false&steps=false&alternatives=false",OK
6,Java Blue (Patio Coffee Shop),"25 West 25th Avenue, 94403",37.5438614,-122.3064653,3.6,3.8,9.4,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.3064653,37.5438614?overview=false&steps=false&alternatives=false",OK
7,Sunesy Hair Design,"South El Camino Real, San Mateo, California, 94402 (reverse-geocoded approximate)",37.5451128,-122.3061123,3.6,3.8,9.2,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.3061123,37.5451128?overview=false&steps=false&alternatives=false",OK
8,The Pantry,"1855 South Delaware Street, San Mateo, CA, 94402",37.5532804,-122.3050121,4.0,5.3,8.8,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.3050121,37.5532804?overview=false&steps=false&alternatives=false",OK
9,Bucky’s Cocktail Lounge,"101 South Boulevard, San Mateo, CA",37.5539739,-122.312981,4.3,5.7,9.8,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.312981,37.5539739?overview=false&steps=false&alternatives=false",OK
10,Spiedo Restaurant,223 East 4th Avenue,37.5646974,-122.3219748,5.2,6.4,10.9,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.3219748,37.5646974?overview=false&steps=false&alternatives=false",OK
11,Izakaya Mai,212 2nd Avenue,37.5659393,-122.3234816,5.3,6.9,11.3,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.3234816,37.5659393?overview=false&steps=false&alternatives=false",OK
12,Gosch Bros Auto Pros,"124 South Amphlett Boulevard, San Mateo, CA, 94401-2941",37.5723178,-122.3163165,5.4,6.6,10.5,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.3163165,37.5723178?overview=false&steps=false&alternatives=false",OK
13,L'Vian Boutique,"317 Primrose Road, Burlingame, CA",37.5780281,-122.3486815,6.9,8.7,14.8,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.3486815,37.5780281?overview=false&steps=false&alternatives=false",OK
14,V&V Nails,220 Broadway,37.6002603,-122.390826,9.6,11.4,16.5,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.390826,37.6002603?overview=false&steps=false&alternatives=false",OK
15,De Design,289 Broadway,37.6005394,-122.3915748,9.7,11.4,16.6,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.3915748,37.6005394?overview=false&steps=false&alternatives=false",OK
16,The Kitchen,"279 El Camino Real, Milbrae, CA, 94030",37.6009978,-122.3909078,9.6,11.4,17.0,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.3909078,37.6009978?overview=false&steps=false&alternatives=false",OK
17,San Bruno Transmission & Auto Repair,"San Bruno Avenue East, San Bruno, California, 94066 (reverse-geocoded approximate)",37.6310442,-122.4107516,11.9,13.6,18.9,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4107516,37.6310442?overview=false&steps=false&alternatives=false",OK
18,Fil-Am Cuisine 2,"321 Grand Avenue, South San Francisco",37.655051,-122.4107666,13.1,15.2,20.8,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4107666,37.655051?overview=false&steps=false&alternatives=false",OK
19,South City Hair,"250 Grand Avenue, South San Francisco, CA",37.6552002,-122.4096955,13.1,15.1,20.3,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4096955,37.6552002?overview=false&steps=false&alternatives=false",OK
20,Melissa's Taqueria,"160 Visitacion Avenue, Brisbane, CA, 94005",37.6833547,-122.4033116,14.5,17.5,23.9,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4033116,37.6833547?overview=false&steps=false&alternatives=false",OK
21,Round N Round Pot,"182 Old County Road, Brisbane, CA, 94005",37.6854351,-122.4002165,14.5,17.3,24.0,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4002165,37.6854351?overview=false&steps=false&alternatives=false",OK
22,Pupuseria El Golazo,"Geneva Avenue, San Francisco, California, 94112 (reverse-geocoded approximate)",37.713618,-122.4299824,17.0,20.0,28.2,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4299824,37.713618?overview=false&steps=false&alternatives=false",OK
23,J&J Hardware Store,"929 Geneva Avenue, San Francisco, CA, 94112",37.7163215,-122.4404988,17.5,20.7,30.1,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4404988,37.7163215?overview=false&steps=false&alternatives=false",OK
24,Taqueria La Iguana Azul,"928 Geneva Avenue, San Francisco, CA, 94112",37.7160773,-122.4407289,17.5,20.9,30.8,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4407289,37.7160773?overview=false&steps=false&alternatives=false",OK
25,Ray Oliver Caoili D.D.S.,"5105 Mission Street, San Francisco, CA, 94112",37.7170081,-122.4404279,17.5,20.7,30.5,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4404279,37.7170081?overview=false&steps=false&alternatives=false",OK
26,Western Donuts,"5101 Mission Street, San Francisco, CA, 94112",37.7171111,-122.4403547,17.5,20.8,30.6,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4403547,37.7171111?overview=false&steps=false&alternatives=false",OK
27,Tikal,"5099 Mission Street, San Francisco, CA, 94112",37.7172864,-122.4401841,17.5,20.7,30.6,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4401841,37.7172864?overview=false&steps=false&alternatives=false",OK
28,Taqueria Mi Sazon,"5300 Mission Street, San Francisco, CA, 94112",37.7145798,-122.442863,17.5,20.9,31.3,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.442863,37.7145798?overview=false&steps=false&alternatives=false",OK
29,Hayden Auto Care,"5400 Mission Street, San Francisco, CA, 94112",37.7136562,-122.4441007,17.4,21.0,31.7,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4441007,37.7136562?overview=false&steps=false&alternatives=false",OK
30,Excelsior Auto Care,"2800 Alemany Boulevard, San Francisco, CA, 94112",37.7132683,-122.4513388,17.7,22.4,31.3,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4513388,37.7132683?overview=false&steps=false&alternatives=false",OK
31,BeeFadezz,"6029 Mission Street, Daly City, CA, 94014-2007",37.7077001,-122.4553949,17.5,21.7,29.8,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4553949,37.7077001?overview=false&steps=false&alternatives=false",OK
32,Da Pan,3995 Alemany Boulevard,37.7103138,-122.467809,18.0,21.3,28.6,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.467809,37.7103138?overview=false&steps=false&alternatives=false",OK
33,Hall of Flame,"73 Cambon Drive, 94132",37.7176073,-122.4738585,18.6,21.9,30.3,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4738585,37.7176073?overview=false&steps=false&alternatives=false",OK
34,Emmy's Restaurant,"1923 Ocean Avenue, San Francisco, CA, 94127",37.7253385,-122.4628871,18.7,22.9,31.8,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4628871,37.7253385?overview=false&steps=false&alternatives=false",OK
35,Mahogany House of Styles,"Ocean Avenue, San Francisco, California, 94127 (reverse-geocoded approximate)",37.7249595,-122.460229,18.6,23.8,32.2,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.460229,37.7249595?overview=false&steps=false&alternatives=false",OK
36,Java on Ocean Cafe,"1700 Ocean Avenue, San Francisco, CA, 94112",37.7248846,-122.4601039,18.6,23.8,32.2,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4601039,37.7248846?overview=false&steps=false&alternatives=false",OK
37,Jolie Elegance Spa,1418 Ocean Avenue,37.7243749,-122.457672,18.5,23.7,31.6,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.457672,37.7243749?overview=false&steps=false&alternatives=false",OK
38,Sakesan Sushi & Robata,"1400 Ocean Avenue, San Francisco, CA, 94112",37.72434,-122.4574685,18.5,23.7,31.5,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4574685,37.72434?overview=false&steps=false&alternatives=false",OK
39,Go Go 7,"1300 Ocean Avenue, San Francisco, CA, 94112",37.7241451,-122.456606,18.4,23.6,31.4,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.456606,37.7241451?overview=false&steps=false&alternatives=false",OK
40,TS cafe,4750;4752;4756 Mission Street,37.7221303,-122.4369831,17.7,22.8,31.5,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4369831,37.7221303?overview=false&steps=false&alternatives=false",OK
41,Unique Automotive,"4650 Mission Street, San Francisco, CA, 94112",37.7236495,-122.4360268,17.8,22.7,31.1,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4360268,37.7236495?overview=false&steps=false&alternatives=false",OK
42,Los Planes de Renderos,"12 Persia Avenue, San Francisco, CA, 94112",37.7228625,-122.4356598,17.7,22.5,31.2,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4356598,37.7228625?overview=false&steps=false&alternatives=false",OK
43,Pacitas Salvadorean Bakery,"10 Persia Avenue, San Francisco, CA, 94112",37.7228954,-122.4357299,17.7,22.5,31.3,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4357299,37.7228954?overview=false&steps=false&alternatives=false",OK
44,Tanjessy Gifts Jewelry & Accessories,9 Persia Avenue,37.7230685,-122.4355877,17.7,22.5,31.3,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4355877,37.7230685?overview=false&steps=false&alternatives=false",OK
45,Oscar Laundromat,200 Brazil Avenue,37.7238039,-122.4331839,17.7,22.3,30.6,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4331839,37.7238039?overview=false&steps=false&alternatives=false",OK
46,Double Shot Coffee,"4587 Mission Street, San Francisco, CA, 94112",37.7248407,-122.4345033,17.8,22.3,30.6,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4345033,37.7248407?overview=false&steps=false&alternatives=false",OK
47,Tasty Coffee,"1818 San Jose Avenue, San Francisco, CA, 94112",37.7285658,-122.4405424,18.2,22.7,29.6,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4405424,37.7285658?overview=false&steps=false&alternatives=false",OK
48,Cafe Bello,"2885 Diamond Street, San Francisco, CA",37.7337422,-122.4339474,18.3,22.5,29.1,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4339474,37.7337422?overview=false&steps=false&alternatives=false",OK
49,Higher Grounds Coffee House and Restaurant,"691 Chenery Street, San Francisco, CA",37.7344141,-122.4336868,18.3,22.6,29.3,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4336868,37.7344141?overview=false&steps=false&alternatives=false",OK
50,Ming Hui Dim Sum,2495 San Bruno Avenue,37.7305091,-122.4046728,17.3,20.6,27.1,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4046728,37.7305091?overview=false&steps=false&alternatives=false",OK
51,Ming Hing Restaurant,2550 San Bruno Avenue,37.7293727,-122.4044805,17.3,20.3,26.8,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4044805,37.7293727?overview=false&steps=false&alternatives=false",OK
52,2546 Cafe,2546 San Bruno Avenue,37.7295082,-122.4046584,17.3,20.3,26.9,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4046584,37.7295082?overview=false&steps=false&alternatives=false",OK
53,Taqueria Gonzalez,2527;2529;2531 San Bruno Avenue,37.7297632,-122.4043715,17.3,20.3,26.9,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4043715,37.7297632?overview=false&steps=false&alternatives=false",OK
54,Golden City,"3rd Street, San Francisco, California, 94124 (reverse-geocoded approximate)",37.7318084,-122.3913825,17.1,20.4,28.5,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.3913825,37.7318084?overview=false&steps=false&alternatives=false",OK
55,Yan Li,"3rd Street, San Francisco, California, 94124 (reverse-geocoded approximate)",37.7327234,-122.3910713,17.1,20.4,28.3,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.3910713,37.7327234?overview=false&steps=false&alternatives=false",OK
56,Generation Nails,"Evans Avenue, San Francisco, California, 94124 (reverse-geocoded approximate)",37.741899,-122.3874323,17.6,21.7,30.7,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.3874323,37.741899?overview=false&steps=false&alternatives=false",OK
57,3R Automotive,240 Bayshore Boulevard,37.7445743,-122.4046752,18.2,21.5,28.5,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4046752,37.7445743?overview=false&steps=false&alternatives=false",OK
58,Silver Crest Donut Shop,"340 Bayshore Boulevard, San Francisco, CA, 94124",37.7423087,-122.4061413,18.1,21.2,28.0,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4061413,37.7423087?overview=false&steps=false&alternatives=false",OK
59,Tacos Los Altos,"737 Cortland Avenue, 94110",37.7390134,-122.4149532,18.1,21.4,28.7,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4149532,37.7390134?overview=false&steps=false&alternatives=false",OK
60,Moonlight Cafe,634 Cortland Avenue,37.7388681,-122.4152987,18.1,21.4,28.7,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4152987,37.7388681?overview=false&steps=false&alternatives=false",OK
61,Brown Bear Realty,303 Cortland Avenue,37.7393308,-122.4183654,18.2,21.6,29.4,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4183654,37.7393308?overview=false&steps=false&alternatives=false",OK
62,LP Decorative Plumbing,"Cortland Avenue, San Francisco, California, 94110 (reverse-geocoded approximate)",37.7393202,-122.4183225,18.2,21.6,29.4,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4183225,37.7393202?overview=false&steps=false&alternatives=false",OK
63,Progressive Grounds,400 Cortland Avenue,37.7390772,-122.417695,18.2,21.6,29.4,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.417695,37.7390772?overview=false&steps=false&alternatives=false",OK
64,Bernal Heights Nail Care,430A Cortland Avenue,37.7390259,-122.4170755,18.2,21.5,29.1,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4170755,37.7390259?overview=false&steps=false&alternatives=false",OK
65,Four Seasons Nails and Spa,451 Cortland Avenue,37.7391906,-122.4168985,18.2,21.5,29.1,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4168985,37.7391906?overview=false&steps=false&alternatives=false",OK
66,Royal Cuckoo,"3202 Mission Street, San Francisco, 94110",37.7453753,-122.4202222,18.6,22.0,31.5,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4202222,37.7453753?overview=false&steps=false&alternatives=false",OK
67,Taqueria Can-Cún,"3211 Mission Street, San Francisco, CA, 94110",37.7453358,-122.4198917,18.6,22.1,31.6,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4198917,37.7453358?overview=false&steps=false&alternatives=false",OK
68,Healthy Nails,"3187 Mission Street, San Francisco, CA, 94110",37.7458729,-122.4195471,18.6,22.2,31.4,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4195471,37.7458729?overview=false&steps=false&alternatives=false",OK
69,Eco Jewelers,3174 Mission Street,37.7463714,-122.4195588,18.7,22.2,31.3,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4195588,37.7463714?overview=false&steps=false&alternatives=false",OK
70,Las Brisas de Acapulco,"3137 Mission Street, San Francisco, CA, 94110",37.747125,-122.418745,18.7,22.5,31.1,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.418745,37.747125?overview=false&steps=false&alternatives=false",OK
71,El Honduras,3047 Mission Street,37.7484001,-122.4179396,18.8,22.5,31.3,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4179396,37.7484001?overview=false&steps=false&alternatives=false",OK
72,Pepe’s Auto Repair,1500 South Van Ness Avenue,37.7489289,-122.4161472,18.7,22.3,30.5,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4161472,37.7489289?overview=false&steps=false&alternatives=false",OK
73,The Phone Booth,"1398 South Van Ness Avenue, San Francisco, CA, 94110",37.7508668,-122.4162912,18.9,22.5,31.0,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4162912,37.7508668?overview=false&steps=false&alternatives=false",OK
74,Hollywood Beauty Salon,2863 Mission Street,37.7512446,-122.4181975,18.9,22.6,31.6,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4181975,37.7512446?overview=false&steps=false&alternatives=false",OK
75,Ariel’s Breakfast Mi Yucatan,"2845 Mission Street, San Francisco, CA, 94110",37.7515184,-122.4182266,19.0,22.6,31.7,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4182266,37.7515184?overview=false&steps=false&alternatives=false",OK
76,Lian Nails,2890 Mission Street,37.7507774,-122.4184591,18.9,22.6,31.5,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4184591,37.7507774?overview=false&steps=false&alternatives=false",OK
77,Eddy's Tax and Accounting,"3420 25th Street, San Francisco",37.7507165,-122.4187507,18.9,22.6,31.5,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4187507,37.7507165?overview=false&steps=false&alternatives=false",OK
78,El Rinconcito Nicaraguense,"2943 Mission Street, San Francisco, CA, 94110",37.7499624,-122.4180749,18.9,22.5,31.4,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4180749,37.7499624?overview=false&steps=false&alternatives=false",OK
79,Pacific Collision Care,1423 Valencia Street,37.7501192,-122.4201265,18.9,22.6,31.9,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4201265,37.7501192?overview=false&steps=false&alternatives=false",OK
80,Big Mouth Burgers & Beers,"3392 24th Street, San Francisco, CA, 94110",37.7522237,-122.4203687,19.1,22.8,32.1,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4203687,37.7522237?overview=false&steps=false&alternatives=false",OK
81,Ezzo Rotisserie,"3388 24th Street, San Francisco, CA, 94110",37.7522296,-122.4202774,19.1,22.8,32.1,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4202774,37.7522296?overview=false&steps=false&alternatives=false",OK
82,Vanessa's Beauty Salon,3329 23rd Street,37.7537155,-122.4192503,19.1,22.8,32.2,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4192503,37.7537155?overview=false&steps=false&alternatives=false",OK
83,Primera Insurance Agency,3339 23rd Street,37.7537035,-122.4194101,19.1,22.8,32.2,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4194101,37.7537035?overview=false&steps=false&alternatives=false",OK
84,Las Palmeras,"2721;2723 Mission Street, San Francisco, CA, 94110",37.7534917,-122.4184106,19.1,22.8,32.1,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4184106,37.7534917?overview=false&steps=false&alternatives=false",OK
85,J. J. Jewelers,3214 24th Street,37.7524447,-122.4166827,19.0,22.6,31.3,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4166827,37.7524447?overview=false&steps=false&alternatives=false",OK
86,The Jelly Donut,"3198 24th Street, San Francisco, CA, 94110",37.7524827,-122.4161477,19.0,22.6,31.2,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4161477,37.7524827?overview=false&steps=false&alternatives=false",OK
87,Jose R. Sanchez Diamond Setter,"3184 24th Street, San Francisco, CA",37.7524894,-122.415943,19.0,22.6,31.1,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.415943,37.7524894?overview=false&steps=false&alternatives=false",OK
88,Cholo Soy,2801 Folsom Street,37.7524149,-122.4139425,18.9,22.5,30.7,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4139425,37.7524149?overview=false&steps=false&alternatives=false",OK
89,Center Nails,3008 24th Street,37.7527694,-122.4123095,18.9,22.4,30.4,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4123095,37.7527694?overview=false&steps=false&alternatives=false",OK
90,Géminis Barber Shop,2933 24th Street,37.7526088,-122.4107754,18.8,22.2,30.2,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4107754,37.7526088?overview=false&steps=false&alternatives=false",OK
91,Ambaro Salon & Barbet,2915 24th Street,37.7526227,-122.4104911,18.8,22.2,30.1,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4104911,37.7526227?overview=false&steps=false&alternatives=false",OK
92,Ana's Dreams,2870 24th Street,37.7528599,-122.4097129,18.8,22.1,29.9,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4097129,37.7528599?overview=false&steps=false&alternatives=false",OK
93,Laura's Beauty and Barber Shop,2858 24th Street,37.7528837,-122.4095057,18.8,22.1,29.9,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4095057,37.7528837?overview=false&steps=false&alternatives=false",OK
94,Homestead,"19th Street, San Francisco, California, 94110 (reverse-geocoded approximate)",37.7604101,-122.4146785,19.4,23.0,32.1,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4146785,37.7604101?overview=false&steps=false&alternatives=false",OK
95,El Tepa,2198 Folsom Street,37.7622039,-122.4151815,19.5,23.7,32.3,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4151815,37.7622039?overview=false&steps=false&alternatives=false",OK
96,La Barberhood,2275 Mission Street,37.7606887,-122.4191066,19.5,23.3,33.3,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4191066,37.7606887?overview=false&steps=false&alternatives=false",OK
97,Clean Cut,2263 Mission Street,37.7608708,-122.4191191,19.6,24.0,33.3,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4191191,37.7608708?overview=false&steps=false&alternatives=false",OK
98,District Tea,"2154 Mission Street, San Francisco, CA, 94110-1247",37.762516,-122.4196106,19.7,23.7,32.9,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4196106,37.762516?overview=false&steps=false&alternatives=false",OK
99,De Angelis,573 Valencia Street,37.7637916,-122.4216261,19.8,23.8,33.1,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4216261,37.7637916?overview=false&steps=false&alternatives=false",OK
100,Alhamra,3083 16th Street,37.7648125,-122.4214001,19.9,23.8,32.7,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4214001,37.7648125?overview=false&steps=false&alternatives=false",OK
101,Ramen Izakaya Goku,"3232 16th Street, San Francisco, 94103",37.7648565,-122.4249358,19.9,24.5,33.1,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4249358,37.7648565?overview=false&steps=false&alternatives=false",OK
102,500 Club,"500 Guerrero Street, San Francisco, CA, 94110",37.7630225,-122.4241568,19.8,24.6,33.4,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4241568,37.7630225?overview=false&steps=false&alternatives=false",OK
103,Java Supreme,"703 Guerrero Street, San Francisco, CA, 94110",37.7598361,-122.4235009,19.6,23.5,34.2,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4235009,37.7598361?overview=false&steps=false&alternatives=false",OK
104,Angelica's Hair Salon,"963 Valencia Street, San Francisco",37.7575151,-122.4210482,19.4,23.2,33.3,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4210482,37.7575151?overview=false&steps=false&alternatives=false",OK
105,Little Kite Asian Fusion,3515 20th Street,37.7585218,-122.4195545,19.4,23.2,33.2,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4195545,37.7585218?overview=false&steps=false&alternatives=false",OK
106,Ambaro,2365 Mission Street,37.7591137,-122.4189578,19.4,23.2,33.3,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4189578,37.7591137?overview=false&steps=false&alternatives=false",OK
107,Dragon City Bakery,2367 Mission Street,37.7590584,-122.4189511,19.4,23.2,33.3,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4189511,37.7590584?overview=false&steps=false&alternatives=false",OK
108,Fiesta Laundromat,"898 South Van Ness Avenue, 94110",37.7589098,-122.4172628,19.4,23.0,32.8,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4172628,37.7589098?overview=false&steps=false&alternatives=false",OK
109,Pan Lido Salvadoreno,"3147 22nd Street, San Francisco, CA, 94110",37.7554244,-122.4174517,19.2,22.8,32.0,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4174517,37.7554244?overview=false&steps=false&alternatives=false",OK
110,El Trebol,"3149 22nd Street, San Francisco, CA, 94110",37.7554153,-122.4175471,19.2,22.9,32.2,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4175471,37.7554153?overview=false&steps=false&alternatives=false",OK
111,Eyebrow Star,2651A Mission Street,37.7546061,-122.418545,19.2,22.9,32.3,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.418545,37.7546061?overview=false&steps=false&alternatives=false",OK
112,Esperpento,"3295 22nd Street, San Francisco, CA",37.7552263,-122.4206951,19.2,23.0,32.8,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4206951,37.7552263?overview=false&steps=false&alternatives=false",OK
