Route stop,Business,Address,Latitude,Longitude,Straight-line miles from San Carlos,OSRM road miles from San Carlos,OSRM drive minutes from San Carlos,Within 90 minute drive,OSRM query,Audit status
398,Plato Hair Design,"3508 Balboa Street, 94121",37.7758758,-122.4964004,22.6,26.7,41.8,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4964004,37.7758758?overview=false&steps=false&alternatives=false",OK
399,Chino's,"3416 Balboa Street, 94121",37.7759214,-122.4955367,22.6,26.6,41.6,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4955367,37.7759214?overview=false&steps=false&alternatives=false",OK
400,Jessica Liu Insurance Services Inc.,"3428 Balboa Street, 94121",37.7759133,-122.4957386,22.6,26.7,41.6,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4957386,37.7759133?overview=false&steps=false&alternatives=false",OK
401,Cielito Lindo,3438 Balboa Street,37.7759062,-122.4959124,22.6,26.7,41.7,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4959124,37.7759062?overview=false&steps=false&alternatives=false",OK
402,Taste of Fusion Kitchen,3497 Balboa Street,37.775653,-122.4961134,22.6,26.7,41.9,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4961134,37.775653?overview=false&steps=false&alternatives=false",OK
403,The Pot's,"2652 Judah Street, 94122",37.7612253,-122.4907775,21.6,25.7,39.9,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4907775,37.7612253?overview=false&steps=false&alternatives=false",OK
404,I D Hair Salon,"3950 Irving Street, San Francisco, CA, 94122",37.7626724,-122.5003096,22.0,26.2,40.8,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.5003096,37.7626724?overview=false&steps=false&alternatives=false",OK
405,The Clean Cycle Laundromat,"1454 48th Avenue, San Francisco, CA, 94122",37.7592955,-122.5078872,22.1,26.4,40.8,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.5078872,37.7592955?overview=false&steps=false&alternatives=false",OK
406,J J Cosmetology Health Spa,"3800 Noriega Street, San Francisco, CA, 94122",37.7531581,-122.5045089,21.6,25.8,39.6,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.5045089,37.7531581?overview=false&steps=false&alternatives=false",OK
407,Law Office Of Kurt D. Huysentruyt,3630 Lawton Street,37.7569687,-122.5023107,21.7,26.0,40.4,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.5023107,37.7569687?overview=false&steps=false&alternatives=false",OK
408,JT’s Auto Repair,"3601 Lawton Street, San Francisco, California, 94122 (reverse-geocoded approximate)",37.7565389,-122.5017634,21.7,25.9,40.3,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.5017634,37.7565389?overview=false&steps=false&alternatives=false",OK
409,Sunset Hardware,"3126 Noriega Street, San Francisco, CA, 94122",37.7534854,-122.4973202,21.4,25.4,38.6,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4973202,37.7534854?overview=false&steps=false&alternatives=false",OK
410,Kaili Beauty Nail Salon,2545 Noriega Street,37.7534421,-122.4911564,21.2,25.5,38.5,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4911564,37.7534421?overview=false&steps=false&alternatives=false",OK
411,Duke's Hardware,"2526 Noriega Street, San Francisco, CA, 94122-4127",37.7537596,-122.4909559,21.2,25.5,38.5,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4909559,37.7537596?overview=false&steps=false&alternatives=false",OK
412,Oriental Seafood Restaurant,"Noriega Street, San Francisco, California, 94116 (reverse-geocoded approximate)",37.7537829,-122.4908084,21.2,25.2,38.6,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4908084,37.7537829?overview=false&steps=false&alternatives=false",OK
413,Bright N' Clean Laundry Center,2900 Taraval Street,37.7422169,-122.497267,20.8,24.8,36.7,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.497267,37.7422169?overview=false&steps=false&alternatives=false",OK
414,Dumpling Kitchen,"1935 Taraval Street, San Francisco, CA, 94116",37.7424255,-122.4870423,20.4,24.3,35.8,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4870423,37.7424255?overview=false&steps=false&alternatives=false",OK
415,Parkside Day Spa,"1732 Taraval Street, San Francisco, CA",37.7428374,-122.4849037,20.4,24.2,35.6,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4849037,37.7428374?overview=false&steps=false&alternatives=false",OK
416,T-28 Bakery & Cafe,"1757 Taraval Street, San Francisco, CA",37.7425142,-122.4851736,20.4,24.2,35.6,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4851736,37.7425142?overview=false&steps=false&alternatives=false",OK
417,"Beverly Presley-Nelson, DDS General Dentistry",1749 Taraval Street,37.7425171,-122.4850755,20.4,24.2,35.6,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4850755,37.7425171?overview=false&steps=false&alternatives=false",OK
418,Taraval Okazu Ya,1735 Taraval Street,37.7425234,-122.4848891,20.4,24.2,35.6,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4848891,37.7425234?overview=false&steps=false&alternatives=false",OK
419,"United Associates Inv., Inc.",1580 Taraval Street,37.7428512,-122.4829139,20.3,24.1,35.3,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4829139,37.7428512?overview=false&steps=false&alternatives=false",OK
420,Flora Permanent Beauty Center,1572 Taraval Street,37.7428532,-122.4828637,20.3,24.1,35.3,YES,"https://router.project-osrm.org/route/v1/driving/-122.2605,37.5072;-122.4828637,37.7428532?overview=false&steps=false&alternatives=false",OK
