Route stop,Business,Profile image URL,Profile image source,HTTP status,Final URL,Content type,Fetched bytes,Fetch milliseconds,Error
622,Wilson Motorsports AutoRepair Inc.,https://s3-media0.fl.yelpcdn.com/bphoto/h3cfX4FqLVO2oM3gJ7L6AA/o.jpg,https://www.yelp.com/biz/wilson-motorsports-san-jose-2?override_cta=Request+quote+&+availability,200,https://s3-media0.fl.yelpcdn.com/bphoto/h3cfX4FqLVO2oM3gJ7L6AA/o.jpg,image/jpeg,0,63,
625,Balentine Beauty Salon,https://s3-media0.fl.yelpcdn.com/bphoto/oLgGY4Rlyc9cbQ9KwLFQwg/348s.jpg,https://www.yelp.com/biz/balentine-beauty-salon-newark,200,https://s3-media0.fl.yelpcdn.com/bphoto/oLgGY4Rlyc9cbQ9KwLFQwg/348s.jpg,image/jpeg,0,58,
629,Pinky's Nails and Spa,https://s3-media0.fl.yelpcdn.com/bphoto/2RSuxlIqjb6GC5j57XPX9A/o.jpg,https://www.yelp.com/biz/pinkys-nails-and-spa-union-city-2?override_cta=Request+an+appointment,200,https://s3-media0.fl.yelpcdn.com/bphoto/2RSuxlIqjb6GC5j57XPX9A/o.jpg,image/jpeg,0,63,
631,Imagine Hair Beauty Salon,https://s3-media0.fl.yelpcdn.com/bphoto/LgdVnAlmSo2PdPlD759LAg/o.jpg,https://www.yelp.com/biz/imagine-beauty-salon-union-city-2,200,https://s3-media0.fl.yelpcdn.com/bphoto/LgdVnAlmSo2PdPlD759LAg/o.jpg,image/jpeg,0,61,
637,Bar Bay Grill,https://s3-media0.fl.yelpcdn.com/bphoto/X5LWejzcB3-lCkyNpEWVfg/348s.jpg,https://www.yelp.com/biz/bar-bay-grill-union-city,200,https://s3-media0.fl.yelpcdn.com/bphoto/X5LWejzcB3-lCkyNpEWVfg/348s.jpg,image/jpeg,0,58,
641,Jim's Country Style Restaurant,https://s3-media0.fl.yelpcdn.com/bphoto/D4ePiDLLUKbJvD-iW1tUHw/258s.jpg,https://www.yelp.com/biz/jims-country-style-restaurant-pleasanton-3,200,https://s3-media0.fl.yelpcdn.com/bphoto/D4ePiDLLUKbJvD-iW1tUHw/258s.jpg,image/jpeg,0,57,
650,The Jelly Donut,https://s3-media0.fl.yelpcdn.com/bphoto/_bak-X_qAsnduTeHHGnedw/348s.jpg,https://www.yelp.com/biz/the-jelly-donut-pleasanton,200,https://s3-media0.fl.yelpcdn.com/bphoto/_bak-X_qAsnduTeHHGnedw/348s.jpg,image/jpeg,0,59,
658,Mad for Sushi,https://s3-media0.fl.yelpcdn.com/bphoto/WFzhrlvTuUvTVK58iew1XQ/o.jpg,https://www.yelp.com/biz/mad-for-sushi-dublin,200,https://s3-media0.fl.yelpcdn.com/bphoto/WFzhrlvTuUvTVK58iew1XQ/o.jpg,image/jpeg,0,62,
662,Athens Burgers,https://s3-media0.fl.yelpcdn.com/bphoto/c6vdKJIN6JWKu4npSiUwIg/348s.jpg,https://www.yelp.com/biz/athens-burgers-restaurant-dublin,200,https://s3-media0.fl.yelpcdn.com/bphoto/c6vdKJIN6JWKu4npSiUwIg/348s.jpg,image/jpeg,0,60,
663,Corwood Car Wash,https://s3-media0.fl.yelpcdn.com/bphoto/87bVImKgVfrjUsQsgXD0pg/o.jpg,https://www.yelp.com/biz/corwoods-carwash-dublin,200,https://s3-media0.fl.yelpcdn.com/bphoto/87bVImKgVfrjUsQsgXD0pg/o.jpg,image/jpeg,0,55,
674,Taqueria el Cruzero,https://s3-media0.fl.yelpcdn.com/bphoto/N1SgbNUMVeQZTiTZVA75xA/348s.jpg,https://www.yelp.com/biz/taqueria-el-cruzero-oakland,200,https://s3-media0.fl.yelpcdn.com/bphoto/N1SgbNUMVeQZTiTZVA75xA/348s.jpg,image/jpeg,0,60,
676,Young's Automotive,https://s3-media0.fl.yelpcdn.com/bphoto/ymO0gnHN9bn5aMoiSqANsA/348s.jpg,https://www.yelp.com/biz/youngs-automotive-oakland,200,https://s3-media0.fl.yelpcdn.com/bphoto/ymO0gnHN9bn5aMoiSqANsA/348s.jpg,image/jpeg,0,64,
680,Frank's Tailoring,https://s3-media0.fl.yelpcdn.com/bphoto/RwVImgSHDbdFmUyRNclfCw/o.jpg,https://www.yelp.com/biz/franks-tailoring-berkeley,200,https://s3-media0.fl.yelpcdn.com/bphoto/RwVImgSHDbdFmUyRNclfCw/o.jpg,image/jpeg,0,63,
684,Eat @ Thai,https://s3-media0.fl.yelpcdn.com/bphoto/6FhvPQ4r36SnmHBPLAJk8A/o.jpg,https://www.yelp.com/biz/eat-at-thai-berkeley,200,https://s3-media0.fl.yelpcdn.com/bphoto/6FhvPQ4r36SnmHBPLAJk8A/o.jpg,image/jpeg,0,60,
687,Paul's Shoe Repair,https://s3-media0.fl.yelpcdn.com/bphoto/KxFncRgeELjVAq2fsKvzbg/l.jpg,https://www.yelp.com/biz/pauls-shoe-repair-service-berkeley,200,https://s3-media0.fl.yelpcdn.com/bphoto/KxFncRgeELjVAq2fsKvzbg/l.jpg,image/jpeg,0,68,
689,Royal Ground Coffee,https://s3-media0.fl.yelpcdn.com/bphoto/48iY4wB4TyXB3yUPqCTwFA/l.jpg,https://www.yelp.com/biz/royal-ground-coffee-house-berkeley,200,https://s3-media0.fl.yelpcdn.com/bphoto/48iY4wB4TyXB3yUPqCTwFA/l.jpg,image/jpeg,0,67,
691,European Tailor,https://s3-media0.fl.yelpcdn.com/bphoto/TbssICzU41VJPAP2IcV2mw/o.jpg,https://www.yelp.com/biz/advanced-european-tailoring-berkeley,200,https://s3-media0.fl.yelpcdn.com/bphoto/TbssICzU41VJPAP2IcV2mw/o.jpg,image/jpeg,0,59,
692,Ashby Nails,https://s3-media0.fl.yelpcdn.com/bphoto/UM0kl72AKTySeyzrqGmCBw/o.jpg,https://www.yelp.com/biz/ashby-nails-berkeley,200,https://s3-media0.fl.yelpcdn.com/bphoto/UM0kl72AKTySeyzrqGmCBw/o.jpg,image/jpeg,0,65,
694,Temescal Wash & Dry,https://s3-media0.fl.yelpcdn.com/bphoto/pYajtVyTX-bUwoOks3NhXg/l.jpg,https://www.yelp.com/biz/temescal-wash-and-dry-oakland-3,200,https://s3-media0.fl.yelpcdn.com/bphoto/pYajtVyTX-bUwoOks3NhXg/l.jpg,image/jpeg,0,65,
700,Gum Kuo,https://s3-media0.fl.yelpcdn.com/bphoto/DDc5MSmhC1GEndzOy2tGrA/300s.jpg,https://www.yelp.com/biz/gum-kuo-restaurant-oakland,200,https://s3-media0.fl.yelpcdn.com/bphoto/DDc5MSmhC1GEndzOy2tGrA/300s.jpg,image/jpeg,0,59,
707,Hi Tech Nails,https://s3-media0.fl.yelpcdn.com/bphoto/ue8EpWj6_KiRBb20BYZt5w/348s.jpg,https://www.yelp.com/biz/hi-tech-nails-alameda,200,https://s3-media0.fl.yelpcdn.com/bphoto/ue8EpWj6_KiRBb20BYZt5w/348s.jpg,image/jpeg,0,59,
708,Ohgane Alameda x Vons Chicken,https://s3-media0.fl.yelpcdn.com/bphoto/L9uvcQz5Q-bG82fn5zHi1g/258s.jpg,https://www.yelp.com/biz/ohgane-kbbq-x-vons-chicken-alameda,200,https://s3-media0.fl.yelpcdn.com/bphoto/L9uvcQz5Q-bG82fn5zHi1g/258s.jpg,image/jpeg,0,59,
710,Best Alteration,https://s3-media0.fl.yelpcdn.com/bphoto/LviiyO4pv0zJs04QQD9stg/o.jpg,https://www.yelp.com/biz/best-alteration-alameda,200,https://s3-media0.fl.yelpcdn.com/bphoto/LviiyO4pv0zJs04QQD9stg/o.jpg,image/jpeg,0,61,
712,BB Bowl,https://s3-media0.fl.yelpcdn.com/bphoto/8_t1RJf_RjFvxFSU0xBT3w/348s.jpg,https://www.yelp.com/biz/bb-bowl-alameda,200,https://s3-media0.fl.yelpcdn.com/bphoto/8_t1RJf_RjFvxFSU0xBT3w/348s.jpg,image/jpeg,0,57,
717,Pasteleria La Favorita,https://s3-media0.fl.yelpcdn.com/bphoto/qdWkAyO5a1DuMH59PRXF3Q/348s.jpg,https://www.yelp.com/biz/panaderia-la-favorita-oakland,200,https://s3-media0.fl.yelpcdn.com/bphoto/qdWkAyO5a1DuMH59PRXF3Q/348s.jpg,image/jpeg,0,60,
