Route stop,Business,Profile link,HTTP status,Final URL,Content type,Reachable/host responded,Fetched bytes,Fetch milliseconds,Error
452,Korean Spring,https://www.yelp.com/biz/korean-spring-bbq-santa-clara,403,https://www.yelp.com/biz/korean-spring-bbq-santa-clara,text/html;charset=utf-8,YES,0,64,
455,Winx,https://www.yelp.com/biz/winx-lash-and-brow-bar-santa-clara?start=60,403,https://www.yelp.com/biz/winx-lash-and-brow-bar-santa-clara?start=60,text/html;charset=utf-8,YES,0,70,
456,Painted Ivy,https://www.yelp.com/biz/painted-ivy-salon-santa-clara,403,https://www.yelp.com/biz/painted-ivy-salon-santa-clara,text/html;charset=utf-8,YES,0,61,
457,CK Salon,https://www.yelp.com/biz/ck-salon-santa-clara,403,https://www.yelp.com/biz/ck-salon-santa-clara,text/html;charset=utf-8,YES,0,61,
458,Vanna's Hair & Nails,https://www.instagram.com/vannas_hair_studio/,200,https://www.instagram.com/vannas_hair_studio/,"text/html; charset=""utf-8""",YES,0,263,
460,Kokodek Korean Fried Chicken,https://www.yelp.com/biz/modak-korean-chicken-san-jose-3,403,https://www.yelp.com/biz/modak-korean-chicken-san-jose-3,text/html;charset=utf-8,YES,0,65,
461,Vogue Salon & Lounge,https://www.yelp.com/biz/vogue-salon-and-lounge-san-jose,403,https://www.yelp.com/biz/vogue-salon-and-lounge-san-jose,text/html;charset=utf-8,YES,0,68,
462,Diamond Shoe Repair,https://www.yelp.com/biz/diamond-shoe-repair-san-jose,403,https://www.yelp.com/biz/diamond-shoe-repair-san-jose,text/html;charset=utf-8,YES,0,66,
463,Harbor Fish & Chips,https://www.yelp.com/biz/harbor-fish-and-chips-san-jose-2?start=100,403,https://www.yelp.com/biz/harbor-fish-and-chips-san-jose-2?start=100,text/html;charset=utf-8,YES,0,70,
464,Heartbeat Café,https://www.yelp.com/biz/heartbeat-cafe-san-jose,403,https://www.yelp.com/biz/heartbeat-cafe-san-jose,text/html;charset=utf-8,YES,0,62,
465,Rural Supply,https://www.yelp.com/biz/rural-supply-hardware-los-gatos,403,https://www.yelp.com/biz/rural-supply-hardware-los-gatos,text/html;charset=utf-8,YES,0,62,
466,T-Bird's Pizza,https://www.yelp.com/biz/t-birds-pizza-of-los-gatos-los-gatos,403,https://www.yelp.com/biz/t-birds-pizza-of-los-gatos-los-gatos,text/html;charset=utf-8,YES,0,56,
468,Bob's Garage,https://www.yelp.com/biz/bobs-garage-los-gatos,403,https://www.yelp.com/biz/bobs-garage-los-gatos,text/html;charset=utf-8,YES,0,57,
469,Orange Coast Title,https://www.yelp.com/biz/orange-coast-title-company-los-gatos-2,403,https://www.yelp.com/biz/orange-coast-title-company-los-gatos-2,text/html;charset=utf-8,YES,0,61,
