Metric,Value
Input rows,1000
Initial straight-line route miles,416.140
Optimized straight-line route miles,409.301
Miles saved,6.839
2-opt passes applied,120
Runtime seconds,12.8
Output CSV,build-tools/bay-area-final-1000-optimized-route-candidate.csv
