Segment,Stops,Origin,Destination,Google Maps driving link,OSRM road miles,OSRM drive minutes,OSRM route URL
89,881-890,"37.3999365,-122.1140227","37.4204154,-122.1464428",https://www.google.com/maps/dir/?api=1&origin=37.3999365%2C-122.1140227&destination=37.4204154%2C-122.1464428&waypoints=37.4013322%2C-122.1147054%7C37.401286%2C-122.114565%7C37.4024283%2C-122.1116008%7C37.404492%2C-122.1119227%7C37.40756%2C-122.120546%7C37.4111971%2C-122.1236951%7C37.4138956%2C-122.1247961%7C37.4186176%2C-122.1327911%7C37.4186269%2C-122.1344927&travelmode=driving,3.9,14,"https://router.project-osrm.org/route/v1/driving/-122.1140227,37.3999365;-122.1147054,37.4013322;-122.114565,37.401286;-122.1116008,37.4024283;-122.1119227,37.404492;-122.120546,37.40756;-122.1236951,37.4111971;-122.1247961,37.4138956;-122.1327911,37.4186176;-122.1344927,37.4186269;-122.1464428,37.4204154?overview=false&steps=false&continue_straight=false"
90,891-900,"37.4204154,-122.1464428","37.464557,-122.1572963",https://www.google.com/maps/dir/?api=1&origin=37.4204154%2C-122.1464428&destination=37.464557%2C-122.1572963&waypoints=37.4265506%2C-122.1461993%7C37.4256918%2C-122.145142%7C37.426594%2C-122.1448665%7C37.427858%2C-122.1442605%7C37.4284054%2C-122.1427237%7C37.4802142%2C-122.1512528%7C37.4799481%2C-122.1520657%7C37.4656294%2C-122.1568916%7C37.4655233%2C-122.1569261&travelmode=driving,10.0,28,"https://router.project-osrm.org/route/v1/driving/-122.1464428,37.4204154;-122.1461993,37.4265506;-122.145142,37.4256918;-122.1448665,37.426594;-122.1442605,37.427858;-122.1427237,37.4284054;-122.1512528,37.4802142;-122.1520657,37.4799481;-122.1568916,37.4656294;-122.1569261,37.4655233;-122.1572963,37.464557?overview=false&steps=false&continue_straight=false"
91,901-910,"37.464557,-122.1572963","37.4866271,-122.2230703",https://www.google.com/maps/dir/?api=1&origin=37.464557%2C-122.1572963&destination=37.4866271%2C-122.2230703&waypoints=37.4644389%2C-122.1572402%7C37.4639824%2C-122.1574795%7C37.4486727%2C-122.1586841%7C37.4473857%2C-122.1605248%7C37.4505488%2C-122.1849348%7C37.4526467%2C-122.183912%7C37.453227%2C-122.183071%7C37.4539281%2C-122.1840782%7C37.4556575%2C-122.1827558&travelmode=driving,8.7,27,"https://router.project-osrm.org/route/v1/driving/-122.1572963,37.464557;-122.1572402,37.4644389;-122.1574795,37.4639824;-122.1586841,37.4486727;-122.1605248,37.4473857;-122.1849348,37.4505488;-122.183912,37.4526467;-122.183071,37.453227;-122.1840782,37.4539281;-122.1827558,37.4556575;-122.2230703,37.4866271?overview=false&steps=false&continue_straight=false"
92,911-920,"37.4866271,-122.2230703","37.470749,-122.2236866",https://www.google.com/maps/dir/?api=1&origin=37.4866271%2C-122.2230703&destination=37.470749%2C-122.2236866&waypoints=37.4633229%2C-122.2251845%7C37.4659991%2C-122.2246809%7C37.4661369%2C-122.2244778%7C37.4662606%2C-122.2244513%7C37.4669942%2C-122.2244339%7C37.4670833%2C-122.2244084%7C37.4673473%2C-122.2244701%7C37.4676133%2C-122.2246173%7C37.4676025%2C-122.2245382&travelmode=driving,4.8,16,"https://router.project-osrm.org/route/v1/driving/-122.2230703,37.4866271;-122.2251845,37.4633229;-122.2246809,37.4659991;-122.2244778,37.4661369;-122.2244513,37.4662606;-122.2244339,37.4669942;-122.2244084,37.4670833;-122.2244701,37.4673473;-122.2246173,37.4676133;-122.2245382,37.4676025;-122.2236866,37.470749?overview=false&steps=false&continue_straight=false"
93,921-930,"37.470749,-122.2236866","37.4724644,-122.2047728",https://www.google.com/maps/dir/?api=1&origin=37.470749%2C-122.2236866&destination=37.4724644%2C-122.2047728&waypoints=37.4694471%2C-122.2231815%7C37.4693707%2C-122.2230203%7C37.4692991%2C-122.2229662%7C37.476562%2C-122.2022942%7C37.4707622%2C-122.2032641%7C37.4710044%2C-122.2034196%7C37.471779%2C-122.2037044%7C37.4718197%2C-122.2037964%7C37.4720746%2C-122.204196&travelmode=driving,4.0,14,"https://router.project-osrm.org/route/v1/driving/-122.2236866,37.470749;-122.2231815,37.4694471;-122.2230203,37.4693707;-122.2229662,37.4692991;-122.2022942,37.476562;-122.2032641,37.4707622;-122.2034196,37.4710044;-122.2037044,37.471779;-122.2037964,37.4718197;-122.204196,37.4720746;-122.2047728,37.4724644?overview=false&steps=false&continue_straight=false"
94,931-940,"37.4724644,-122.2047728","37.4740504,-122.2070934",https://www.google.com/maps/dir/?api=1&origin=37.4724644%2C-122.2047728&destination=37.4740504%2C-122.2070934&waypoints=37.4724332%2C-122.2047368%7C37.4720977%2C-122.2047769%7C37.4721282%2C-122.2048286%7C37.4722376%2C-122.2051089%7C37.472291%2C-122.2054157%7C37.472666%2C-122.205629%7C37.4726888%2C-122.2056636%7C37.4732217%2C-122.2064737%7C37.4740362%2C-122.2069643&travelmode=driving,0.3,1,"https://router.project-osrm.org/route/v1/driving/-122.2047728,37.4724644;-122.2047368,37.4724332;-122.2047769,37.4720977;-122.2048286,37.4721282;-122.2051089,37.4722376;-122.2054157,37.472291;-122.205629,37.472666;-122.2056636,37.4726888;-122.2064737,37.4732217;-122.2069643,37.4740362;-122.2070934,37.4740504?overview=false&steps=false&continue_straight=false"
95,941-950,"37.4740504,-122.2070934","37.4761014,-122.2094397",https://www.google.com/maps/dir/?api=1&origin=37.4740504%2C-122.2070934&destination=37.4761014%2C-122.2094397&waypoints=37.4746255%2C-122.2077953%7C37.4759451%2C-122.2077309%7C37.4788573%2C-122.2142966%7C37.4785552%2C-122.2136528%7C37.4777095%2C-122.212675%7C37.4774412%2C-122.2116893%7C37.4774334%2C-122.2122301%7C37.4769291%2C-122.2122673%7C37.4758298%2C-122.2106267&travelmode=driving,1.4,5,"https://router.project-osrm.org/route/v1/driving/-122.2070934,37.4740504;-122.2077953,37.4746255;-122.2077309,37.4759451;-122.2142966,37.4788573;-122.2136528,37.4785552;-122.212675,37.4777095;-122.2116893,37.4774412;-122.2122301,37.4774334;-122.2122673,37.4769291;-122.2106267,37.4758298;-122.2094397,37.4761014?overview=false&steps=false&continue_straight=false"
96,951-960,"37.4761014,-122.2094397","37.4737972,-122.2184822",https://www.google.com/maps/dir/?api=1&origin=37.4761014%2C-122.2094397&destination=37.4737972%2C-122.2184822&waypoints=37.4758865%2C-122.2096118%7C37.4753635%2C-122.2098805%7C37.4710557%2C-122.2140306%7C37.4711987%2C-122.2141736%7C37.4726102%2C-122.2161635%7C37.4727047%2C-122.2162915%7C37.4731251%2C-122.2168444%7C37.4734165%2C-122.2183761%7C37.4737608%2C-122.2184261&travelmode=driving,2.1,7,"https://router.project-osrm.org/route/v1/driving/-122.2094397,37.4761014;-122.2096118,37.4758865;-122.2098805,37.4753635;-122.2140306,37.4710557;-122.2141736,37.4711987;-122.2161635,37.4726102;-122.2162915,37.4727047;-122.2168444,37.4731251;-122.2183761,37.4734165;-122.2184261,37.4737608;-122.2184822,37.4737972?overview=false&steps=false&continue_straight=false"
97,961-970,"37.4737972,-122.2184822","37.474742,-122.2208269",https://www.google.com/maps/dir/?api=1&origin=37.4737972%2C-122.2184822&destination=37.474742%2C-122.2208269&waypoints=37.4738263%2C-122.2186298%7C37.4757698%2C-122.2190826%7C37.4757915%2C-122.2198862%7C37.4757369%2C-122.2198722%7C37.47565%2C-122.2196652%7C37.475409%2C-122.2198823%7C37.4752084%2C-122.219564%7C37.4752597%2C-122.219768%7C37.4752996%2C-122.2198914&travelmode=driving,1.3,5,"https://router.project-osrm.org/route/v1/driving/-122.2184822,37.4737972;-122.2186298,37.4738263;-122.2190826,37.4757698;-122.2198862,37.4757915;-122.2198722,37.4757369;-122.2196652,37.47565;-122.2198823,37.475409;-122.219564,37.4752084;-122.219768,37.4752597;-122.2198914,37.4752996;-122.2208269,37.474742?overview=false&steps=false&continue_straight=false"
98,971-980,"37.474742,-122.2208269","37.4803909,-122.2275832",https://www.google.com/maps/dir/?api=1&origin=37.474742%2C-122.2208269&destination=37.4803909%2C-122.2275832&waypoints=37.4770329%2C-122.2236738%7C37.478726%2C-122.2239677%7C37.4786645%2C-122.2243508%7C37.4781701%2C-122.224505%7C37.4783191%2C-122.2247594%7C37.478735%2C-122.2253266%7C37.4788268%2C-122.2254525%7C37.4788754%2C-122.2255138%7C37.479336%2C-122.2264417&travelmode=driving,3.2,12,"https://router.project-osrm.org/route/v1/driving/-122.2208269,37.474742;-122.2236738,37.4770329;-122.2239677,37.478726;-122.2243508,37.4786645;-122.224505,37.4781701;-122.2247594,37.4783191;-122.2253266,37.478735;-122.2254525,37.4788268;-122.2255138,37.4788754;-122.2264417,37.479336;-122.2275832,37.4803909?overview=false&steps=false&continue_straight=false"
99,981-990,"37.4803909,-122.2275832","37.4864001,-122.2339483",https://www.google.com/maps/dir/?api=1&origin=37.4803909%2C-122.2275832&destination=37.4864001%2C-122.2339483&waypoints=37.4809739%2C-122.228411%7C37.4810327%2C-122.2286858%7C37.4812201%2C-122.2287315%7C37.4815156%2C-122.2291499%7C37.4851048%2C-122.230973%7C37.4862974%2C-122.2304063%7C37.4862972%2C-122.2305278%7C37.4862921%2C-122.2306758%7C37.4865188%2C-122.2337418&travelmode=driving,1.9,8,"https://router.project-osrm.org/route/v1/driving/-122.2275832,37.4803909;-122.228411,37.4809739;-122.2286858,37.4810327;-122.2287315,37.4812201;-122.2291499,37.4815156;-122.230973,37.4851048;-122.2304063,37.4862974;-122.2305278,37.4862972;-122.2306758,37.4862921;-122.2337418,37.4865188;-122.2339483,37.4864001?overview=false&steps=false&continue_straight=false"
100,991-1000,"37.4864001,-122.2339483","37.1568207,-122.3483225",https://www.google.com/maps/dir/?api=1&origin=37.4864001%2C-122.2339483&destination=37.1568207%2C-122.3483225&waypoints=37.4861186%2C-122.2340908%7C37.4861176%2C-122.2341329%7C37.4862837%2C-122.2361837%7C37.4870481%2C-122.2355753%7C37.4915784%2C-122.2392543%7C37.4980162%2C-122.2497378%7C37.5040478%2C-122.2585285%7C37.2522596%2C-122.3832449%7C37.251847%2C-122.3832123&travelmode=driving,45.2,78,"https://router.project-osrm.org/route/v1/driving/-122.2339483,37.4864001;-122.2340908,37.4861186;-122.2341329,37.4861176;-122.2361837,37.4862837;-122.2355753,37.4870481;-122.2392543,37.4915784;-122.2497378,37.4980162;-122.2585285,37.5040478;-122.3832449,37.2522596;-122.3832123,37.251847;-122.3483225,37.1568207?overview=false&steps=false&continue_straight=false"
