Segment,Stops,Origin,Destination,Google Maps driving link,OSRM road miles,OSRM drive minutes,OSRM route URL
69,681-690,"37.8627857,-122.258551","37.8625467,-122.2675672",https://www.google.com/maps/dir/?api=1&origin=37.8627857%2C-122.258551&destination=37.8625467%2C-122.2675672&waypoints=37.8659616%2C-122.3057441%7C37.8551007%2C-122.2878732%7C37.8653843%2C-122.2912386%7C37.869537%2C-122.290156%7C37.8708414%2C-122.2805343%7C37.8698606%2C-122.27015%7C37.8679812%2C-122.2675422%7C37.867165%2C-122.267459%7C37.8656869%2C-122.2672122&travelmode=driving,9.8,34,"https://router.project-osrm.org/route/v1/driving/-122.258551,37.8627857;-122.3057441,37.8659616;-122.2878732,37.8551007;-122.2912386,37.8653843;-122.290156,37.869537;-122.2805343,37.8708414;-122.27015,37.8698606;-122.2675422,37.8679812;-122.267459,37.867165;-122.2672122,37.8656869;-122.2675672,37.8625467?overview=false&steps=false&continue_straight=false"
70,691-700,"37.8625467,-122.2675672","37.800743,-122.271549",https://www.google.com/maps/dir/?api=1&origin=37.8625467%2C-122.2675672&destination=37.800743%2C-122.271549&waypoints=37.8578991%2C-122.2683848%7C37.8545426%2C-122.2701668%7C37.8365301%2C-122.276067%7C37.835506%2C-122.262282%7C37.8354345%2C-122.2630022%7C37.8296163%2C-122.264826%7C37.8183637%2C-122.2638161%7C37.8049638%2C-122.2679701%7C37.7990886%2C-122.2735311&travelmode=driving,6.6,25,"https://router.project-osrm.org/route/v1/driving/-122.2675672,37.8625467;-122.2683848,37.8578991;-122.2701668,37.8545426;-122.276067,37.8365301;-122.262282,37.835506;-122.2630022,37.8354345;-122.264826,37.8296163;-122.2638161,37.8183637;-122.2679701,37.8049638;-122.2735311,37.7990886;-122.271549,37.800743?overview=false&steps=false&continue_straight=false"
71,701-710,"37.800743,-122.271549","37.760457,-122.2457617",https://www.google.com/maps/dir/?api=1&origin=37.800743%2C-122.271549&destination=37.760457%2C-122.2457617&waypoints=37.7931778%2C-122.2541153%7C37.7837799%2C-122.2654812%7C37.7712538%2C-122.2752157%7C37.7711284%2C-122.2688552%7C37.7703163%2C-122.2617441%7C37.7669839%2C-122.2547529%7C37.767057%2C-122.2542806%7C37.7573775%2C-122.2520118%7C37.7573055%2C-122.2518727&travelmode=driving,9.2,27,"https://router.project-osrm.org/route/v1/driving/-122.271549,37.800743;-122.2541153,37.7931778;-122.2654812,37.7837799;-122.2752157,37.7712538;-122.2688552,37.7711284;-122.2617441,37.7703163;-122.2547529,37.7669839;-122.2542806,37.767057;-122.2520118,37.7573775;-122.2518727,37.7573055;-122.2457617,37.760457?overview=false&steps=false&continue_straight=false"
72,711-720,"37.760457,-122.2457617","37.783014,-122.2209528",https://www.google.com/maps/dir/?api=1&origin=37.760457%2C-122.2457617&destination=37.783014%2C-122.2209528&waypoints=37.7712183%2C-122.2379762%7C37.7691537%2C-122.2328691%7C37.7744024%2C-122.2185588%7C37.7786594%2C-122.2283417%7C37.7766594%2C-122.2242495%7C37.7775365%2C-122.2251773%7C37.7782233%2C-122.2257274%7C37.7791595%2C-122.2248459%7C37.7837452%2C-122.2235807&travelmode=driving,4.8,14,"https://router.project-osrm.org/route/v1/driving/-122.2457617,37.760457;-122.2379762,37.7712183;-122.2328691,37.7691537;-122.2185588,37.7744024;-122.2283417,37.7786594;-122.2242495,37.7766594;-122.2251773,37.7775365;-122.2257274,37.7782233;-122.2248459,37.7791595;-122.2235807,37.7837452;-122.2209528,37.783014?overview=false&steps=false&continue_straight=false"
73,721-730,"37.783014,-122.2209528","37.7241908,-122.1566552",https://www.google.com/maps/dir/?api=1&origin=37.783014%2C-122.2209528&destination=37.7241908%2C-122.1566552&waypoints=37.7817092%2C-122.2192146%7C37.7797859%2C-122.2171546%7C37.7789127%2C-122.217122%7C37.778532%2C-122.2157332%7C37.7805817%2C-122.2058298%7C37.7746876%2C-122.1810558%7C37.6985223%2C-122.1757086%7C37.704167%2C-122.1805447%7C37.7260268%2C-122.1512049&travelmode=driving,14.1,32,"https://router.project-osrm.org/route/v1/driving/-122.2209528,37.783014;-122.2192146,37.7817092;-122.2171546,37.7797859;-122.217122,37.7789127;-122.2157332,37.778532;-122.2058298,37.7805817;-122.1810558,37.7746876;-122.1757086,37.6985223;-122.1805447,37.704167;-122.1512049,37.7260268;-122.1566552,37.7241908?overview=false&steps=false&continue_straight=false"
74,731-740,"37.7241908,-122.1566552","37.6725318,-122.0867042",https://www.google.com/maps/dir/?api=1&origin=37.7241908%2C-122.1566552&destination=37.6725318%2C-122.0867042&waypoints=37.7230971%2C-122.153768%7C37.7226579%2C-122.1546246%7C37.7227014%2C-122.1545143%7C37.7223355%2C-122.1540734%7C37.7212397%2C-122.1537736%7C37.7211487%2C-122.1502667%7C37.7014906%2C-122.1404355%7C37.6951816%2C-122.0786144%7C37.6734577%2C-122.0851009&travelmode=driving,10.2,25,"https://router.project-osrm.org/route/v1/driving/-122.1566552,37.7241908;-122.153768,37.7230971;-122.1546246,37.7226579;-122.1545143,37.7227014;-122.1540734,37.7223355;-122.1537736,37.7212397;-122.1502667,37.7211487;-122.1404355,37.7014906;-122.0786144,37.6951816;-122.0851009,37.6734577;-122.0867042,37.6725318?overview=false&steps=false&continue_straight=false"
75,741-750,"37.6725318,-122.0867042","37.5965983,-122.0768421",https://www.google.com/maps/dir/?api=1&origin=37.6725318%2C-122.0867042&destination=37.5965983%2C-122.0768421&waypoints=37.6686583%2C-122.1213788%7C37.6506278%2C-122.1092341%7C37.6296653%2C-122.0972133%7C37.6140307%2C-122.0878936%7C37.6029352%2C-122.0676295%7C37.6017498%2C-122.0695117%7C37.5963827%2C-122.0791766%7C37.5963815%2C-122.0790784%7C37.5963758%2C-122.0780089&travelmode=driving,10.6,30,"https://router.project-osrm.org/route/v1/driving/-122.0867042,37.6725318;-122.1213788,37.6686583;-122.1092341,37.6506278;-122.0972133,37.6296653;-122.0878936,37.6140307;-122.0676295,37.6029352;-122.0695117,37.6017498;-122.0791766,37.5963827;-122.0790784,37.5963815;-122.0780089,37.5963758;-122.0768421,37.5965983?overview=false&steps=false&continue_straight=false"
76,751-760,"37.5965983,-122.0768421","37.5493611,-122.0496579",https://www.google.com/maps/dir/?api=1&origin=37.5965983%2C-122.0768421&destination=37.5493611%2C-122.0496579&waypoints=37.5916887%2C-122.0711248%7C37.590001%2C-122.0712802%7C37.5905314%2C-122.0701215%7C37.5909645%2C-122.0694908%7C37.5902699%2C-122.0685819%7C37.590238%2C-122.0685202%7C37.5899952%2C-122.0680592%7C37.589903%2C-122.0679018%7C37.5516393%2C-122.0504855&travelmode=driving,6.4,18,"https://router.project-osrm.org/route/v1/driving/-122.0768421,37.5965983;-122.0711248,37.5916887;-122.0712802,37.590001;-122.0701215,37.5905314;-122.0694908,37.5909645;-122.0685819,37.5902699;-122.0685202,37.590238;-122.0680592,37.5899952;-122.0679018,37.589903;-122.0504855,37.5516393;-122.0496579,37.5493611?overview=false&steps=false&continue_straight=false"
77,761-770,"37.5493611,-122.0496579","37.5441873,-121.9830684",https://www.google.com/maps/dir/?api=1&origin=37.5493611%2C-122.0496579&destination=37.5441873%2C-121.9830684&waypoints=37.5486423%2C-122.0491187%7C37.5385148%2C-122.0336498%7C37.5407087%2C-122.016053%7C37.5612165%2C-122.0121893%7C37.576951%2C-121.9796515%7C37.5539316%2C-121.9810652%7C37.553983%2C-121.9797201%7C37.550191%2C-121.9799585%7C37.546379%2C-121.9830855&travelmode=driving,12.4,33,"https://router.project-osrm.org/route/v1/driving/-122.0496579,37.5493611;-122.0491187,37.5486423;-122.0336498,37.5385148;-122.016053,37.5407087;-122.0121893,37.5612165;-121.9796515,37.576951;-121.9810652,37.5539316;-121.9797201,37.553983;-121.9799585,37.550191;-121.9830855,37.546379;-121.9830684,37.5441873?overview=false&steps=false&continue_straight=false"
78,771-780,"37.5441873,-121.9830684","37.4932348,-121.9298215",https://www.google.com/maps/dir/?api=1&origin=37.5441873%2C-121.9830684&destination=37.4932348%2C-121.9298215&waypoints=37.5437148%2C-121.9821085%7C37.5439189%2C-121.9817926%7C37.5298476%2C-121.9590791%7C37.5298151%2C-121.9590742%7C37.5106933%2C-121.9630857%7C37.5104319%2C-121.9629187%7C37.4965574%2C-121.9360176%7C37.4915589%2C-121.9268535%7C37.4937411%2C-121.9301066&travelmode=driving,8.3,23,"https://router.project-osrm.org/route/v1/driving/-121.9830684,37.5441873;-121.9821085,37.5437148;-121.9817926,37.5439189;-121.9590791,37.5298476;-121.9590742,37.5298151;-121.9630857,37.5106933;-121.9629187,37.5104319;-121.9360176,37.4965574;-121.9268535,37.4915589;-121.9301066,37.4937411;-121.9298215,37.4932348?overview=false&steps=false&continue_straight=false"
